epoch,train loss,train acc,val loss,val acc
1,-0.3650889386875025,0.3650889386875025,-0.3996823965295524,0.3996823965295524
2,-0.4255192245634461,0.4255192245634461,-0.4418206807500892,0.4418206807500892
3,-0.4665632473705573,0.4665632473705573,-0.4825223490229219,0.4825223490229219
4,-0.5068849006463338,0.5068849006463338,-0.5233289670150635,0.5233289670150635
5,-0.5438017054366829,0.5438017054366829,-0.5599817365364814,0.5599817365364814
6,-0.5779778674679075,0.5779778674679075,-0.591680889709296,0.591680889709296
7,-0.6053529359580416,0.6053529359580416,-0.617642969194956,0.617642969194956
8,-0.6324620157461763,0.6324620157461763,-0.6436137736447468,0.6436137736447468
9,-0.6546702410076541,0.6546702410076541,-0.6625229403182498,0.6625229403182498
10,-0.6717882780502542,0.6717882780502542,-0.6788049096136466,0.6788049096136466
11,-0.6860744058901083,0.6860744058901083,-0.6898573570589598,0.6898573570589598
12,-0.6972329619133317,0.6972329619133317,-0.6992884426662097,0.6992884426662097
13,-0.7055974401307269,0.7055974401307269,-0.7074246318571474,0.7074246318571474
14,-0.7167475234996585,0.7167475234996585,-0.7178024675497615,0.7178024675497615
15,-0.7281217538859632,0.7281217538859632,-0.7320867014345316,0.7320867014345316
16,-0.7370224952771659,0.7370224952771659,-0.7319346772434052,0.7319346772434052
17,-0.7414065125338867,0.7414065125338867,-0.733175451779676,0.733175451779676
18,-0.7462535686028795,0.7462535686028795,-0.743955961874701,0.743955961874701
19,-0.7509484069730211,0.7509484069730211,-0.7473245765986904,0.7473245765986904
20,-0.7548891744921093,0.7548891744921093,-0.7489819400734908,0.7489819400734908
21,-0.7577521072288367,0.7577521072288367,-0.7523275278239105,0.7523275278239105
22,-0.7598163966650706,0.7598163966650706,-0.7508064032291021,0.7508064032291021
23,-0.7622647121022077,0.7622647121022077,-0.7549683875181913,0.7549683875181913
24,-0.7650293468024815,0.7650293468024815,-0.7557488419385101,0.7557488419385101
25,-0.7661433851800199,0.7661433851800199,-0.7523007818137858,0.7523007818137858
26,-0.7682903410851845,0.7682903410851845,-0.7570871716815379,0.7570871716815379
27,-0.7704149014227004,0.7704149014227004,-0.7578883260790416,0.7578883260790416
28,-0.7718912082212133,0.7718912082212133,-0.7603847833859765,0.7603847833859765
29,-0.7727120423716044,0.7727120423716044,-0.7609061207164041,0.7609061207164041
30,-0.7738990674311524,0.7738990674311524,-0.7597980893469064,0.7597980893469064
