epoch,train loss,train acc,val loss,val acc
1,-0.5526779272581432,0.5526779272581432,-0.6052405215724332,0.6052405215724332
2,-0.6230948718896359,0.6230948718896359,-0.6353753176335833,0.6353753176335833
3,-0.6629274198525601,0.6629274198525601,-0.6837468174880562,0.6837468174880562
4,-0.7004751764833742,0.7004751764833742,-0.7247898388012446,0.7247898388012446
5,-0.7366804973501192,0.7366804973501192,-0.7423699227324788,0.7423699227324788
6,-0.7724849552525841,0.7724849552525841,-0.7871592000838472,0.7871592000838472
7,-0.801473032371346,0.801473032371346,-0.8121232039331527,0.8121232039331527
8,-0.8334435952131007,0.8334435952131007,-0.8374550368437373,0.8374550368437373
9,-0.8563672526608471,0.8563672526608471,-0.8738532352723537,0.8738532352723537
10,-0.8792110721073162,0.8792110721073162,-0.8851163122484894,0.8851163122484894
11,-0.8965668834962981,0.8965668834962981,-0.90451902608278,0.90451902608278
12,-0.909911128060092,0.909911128060092,-0.9154896252234662,0.9154896252234662
13,-0.9226425922737311,0.9226425922737311,-0.9300773434459559,0.9300773434459559
14,-0.9312372848770297,0.9312372848770297,-0.936669472675075,0.936669472675075
15,-0.9394930694979758,0.9394930694979758,-0.9391390559642256,0.9391390559642256
16,-0.9453914609667831,0.9453914609667831,-0.9468484777962592,0.9468484777962592
17,-0.9505315372756159,0.9505315372756159,-0.9518737296119613,0.9518737296119613
18,-0.9538265002195094,0.9538265002195094,-0.9554756689175166,0.9554756689175166
19,-0.9557745885715969,0.9557745885715969,-0.9362434986358786,0.9362434986358786
20,-0.9598888888243777,0.9598888888243777,-0.9622925343113249,0.9622925343113249
21,-0.9635734815665528,0.9635734815665528,-0.9650353073383723,0.9650353073383723
22,-0.9665699099356243,0.9665699099356243,-0.9647338022889,0.9647338022889
23,-0.9677708797475527,0.9677708797475527,-0.9690261704876868,0.9690261704876868
24,-0.9695041068059941,0.9695041068059941,-0.9705792738801319,0.9705792738801319
25,-0.9720861511206819,0.9720861511206819,-0.9725603106743003,0.9725603106743003
26,-0.9735348220205573,0.9735348220205573,-0.9710757886794128,0.9710757886794128
27,-0.9746221925853131,0.9746221925853131,-0.9729623212310581,0.9729623212310581
28,-0.9756579934183441,0.9756579934183441,-0.973457460551807,0.973457460551807
29,-0.9760591490107594,0.9760591490107594,-0.8840230559302136,0.8840230559302136
30,-0.9743683082822384,0.9743683082822384,-0.9748611777977729,0.9748611777977729
