epoch,train loss,train acc,val loss,val acc
1,-0.5574463650593459,0.5574463650593459,-0.5963692207067299,0.5963692207067299
2,-0.6187569317947761,0.6187569317947761,-0.6379866670768616,0.6379866670768616
3,-0.6547492604705021,0.6547492604705021,-0.6623223794006922,0.6623223794006922
4,-0.6884255420326522,0.6884255420326522,-0.7016890063644663,0.7016890063644663
5,-0.7236316861458912,0.7236316861458912,-0.7438045852263654,0.7438045852263654
6,-0.7554033225689774,0.7554033225689774,-0.7711733755603023,0.7711733755603023
7,-0.7884203926495565,0.7884203926495565,-0.7952495144866137,0.7952495144866137
8,-0.8184955683984301,0.8184955683984301,-0.8277922256293069,0.8277922256293069
9,-0.8449211367818782,0.8449211367818782,-0.8592647639266316,0.8592647639266316
10,-0.8669693686543823,0.8669693686543823,-0.8735117470648803,0.8735117470648803
11,-0.8863223540583384,0.8863223540583384,-0.8879286422570777,0.8879286422570777
12,-0.9009242728491119,0.9009242728491119,-0.9062132872479352,0.9062132872479352
13,-0.9143197359465252,0.9143197359465252,-0.9191763087050442,0.9191763087050442
14,-0.9244114983843043,0.9244114983843043,-0.9271097954378804,0.9271097954378804
15,-0.9334096337281172,0.9334096337281172,-0.9371042511225092,0.9371042511225092
16,-0.9405282972691152,0.9405282972691152,-0.9375012850795917,0.9375012850795917
17,-0.9439214953190779,0.9439214953190779,-0.9379654142860048,0.9379654142860048
18,-0.9476217225110833,0.9476217225110833,-0.9518830491561449,0.9518830491561449
19,-0.952972957419817,0.952972957419817,-0.9537839429768398,0.9537839429768398
20,-0.957126826472853,0.957126826472853,-0.9577067664321701,0.9577067664321701
21,-0.9589879380496333,0.9589879380496333,-0.9599350569217147,0.9599350569217147
22,-0.9616573788110174,0.9616573788110174,-0.9629022631734911,0.9629022631734911
23,-0.9637241638822727,0.9637241638822727,-0.9634932168313287,0.9634932168313287
24,-0.9658113208086093,0.9658113208086093,-0.9600103331026224,0.9600103331026224
25,-0.9633891932061202,0.9633891932061202,-0.9609626215032144,0.9609626215032144
26,-0.96746252396797,0.96746252396797,-0.9676984184557725,0.9676984184557725
27,-0.9697525307988796,0.9697525307988796,-0.9692011937046189,0.9692011937046189
28,-0.9708966491241597,0.9708966491241597,-0.9689290202647318,0.9689290202647318
29,-0.9721866802480453,0.9721866802480453,-0.9712411179038791,0.9712411179038791
30,-0.9726998633800348,0.9726998633800348,-0.9725828517535661,0.9725828517535661
